Fecha,Hora que me acosté,Horas sueño,Veces que me desperté,Horas sueño ligero,Horas sueño profundo,Déficit
3/27/2022,11:56:00 PM,7.92,2,1.23,6.68,-0.42
3/28/2022,11:27:00 PM,8.08,3,1.65,6.43,-1.00
3/29/2022,12:40:00 AM,6.85,0,3.83,3.02,-0.35
3/30/2022,1:25:00 AM,6.10,0,2.92,3.18,1.05
3/31/2022,11:15:00 PM,8.27,1,3.77,4.50,0.28
4/1/2022,6:13:00 AM,5.07,5,0.83,4.23,2.72
4/2/2022,4:44:00 AM,7.32,1,0.92,6.40,2.90
4/3/2022,1:04:00 AM,6.42,2,2.43,3.98,3.98
4/4/2022,1:05:00 AM,6.43,1,3.08,3.35,5.05
4/5/2022,12:50:00 AM,6.57,1,2.27,4.30,5.98
4/6/2022,11:40:00 PM,7.63,0,0.82,6.82,5.85
4/7/2022,12:14:00 AM,7.28,1,0.40,6.88,6.07
4/8/2022,4:34:00 AM,5.17,1,1.30,3.87,8.40
4/9/2022,3:51:00 AM,3.55,1,0.47,3.08,12.35
4/10/2022,1:10:00 AM,6.28,0,1.43,4.85,13.57
4/11/2022,12:26:00 AM,6.97,0,6.97,0.00,14.10
4/12/2022,10:42:00 PM,8.83,2,3.72,5.12,12.77
4/13/2022,12:55:00 PM,8.35,1,2.48,5.87,11.92
4/14/2022,12:57:00 AM,9.58,0,3.30,6.28,9.83
4/15/2022,12:36:00 AM,6.92,0,3.62,3.30,10.42
4/16/2022,12:49:00 AM,6.73,2,0.90,5.83,11.18
4/17/2022,1:17:00 AM,6.20,1,2.03,4.17,12.48
4/18/2022,12:36:00 AM,6.92,2,2.47,4.45,13.07
4/19/2022,12:54:00 AM,6.62,1,2.85,3.77,13.95
4/20/2022,12:52:00 AM,6.67,0,2.47,4.20,14.78
4/21/2022,11:53:00 PM,6.42,1,0.00,6.42,15.87